question,answer
"how do i report a post","Open the post's menu (the three dots) and choose Report. A moderator will review it. You can report student posts; staff announcements are not reportable."
"how do i report a comment or reply","Open the comment or reply, tap its menu, and choose Report. A moderator reviews reported content and decides whether to remove it."
"what is a post flair","A flair is a category label on a post, like Lost & Found. Pick one when you create a post. The Announcement flair is reserved for teachers, moderators, and admins."
"can i post anonymously","Yes. Turn on Post Anonymously when creating a post. Other students see you as Anonymous, but admins and moderators can still see who posted."
"who can see my anonymous post","Other students see it as Anonymous. Admins and moderators can still see your real identity, so anonymous posting is not fully hidden from staff."
"how do i use the ai assistant in a post","Mention @BondedAI anywhere in a post or comment. Once the post is approved, the assistant adds a reply. You can also chat with it directly on the AI chat screen."
"what is lost and found","Use the Lost & Found flair when you lost or found something on campus. Describe the item in your post. When it is returned or claimed, the original poster can mark it resolved."
"how do i mark a lost item as found","If you made the Lost & Found post, open it and confirm when the assistant or a commenter indicates the item was found, returned, or claimed."
"why is my post pending","Every new post is checked before it appears. Pending means the automatic check or a moderator is still reviewing it. It will appear once approved."
"why was my post removed","A moderator removed it because it was reported or flagged as breaking the community rules. Check your notifications for details, or contact a moderator."
"how do i save a post","Tap the bookmark icon on a post to save it. Open the Bookmarks screen to see everything you have saved."
"how do i find my saved posts","Open the Bookmarks screen from the menu. It lists every post you have bookmarked."
"how do i create a poll","Open Create Poll, type your question, and add two or more options. Other users vote and see the results."
"what is a server or channel","Servers are community spaces you can join. Each server has channels for different topics. You can post in a channel or to the campus-wide Home feed."
"how do i join a server","Open the server list, pick a server, and join it. After joining you can read and post in its channels."
"how do i edit or delete my post","Open your post's menu and choose Edit or Delete. You can only edit or delete posts you created. Edited posts are checked again before they reappear."
"how do i tag someone in a post","Type @ followed by their name while writing your post, then pick them from the list. Type @everyone to notify everyone in that space."
"when do i get a notification","You are notified when someone mentions you, replies to you, comments on your post, or reacts to your post. Safety alerts also go to moderators."
"what roles exist in bonded","BondED has students, teachers, moderators, and admins. Some actions, like posting Announcements and reviewing reports, are limited to staff roles."
"what are the user types or roles","BondED accounts are students, teachers, moderators, or admins. Teachers, moderators, and admins are staff and can do things students cannot, like post Announcements and review reports."
"who reviews reported content","Moderators, teachers, and admins review reports in the moderation queue and decide whether content stays or is removed."
"is my data private","Your profile details like your student ID and email are never shown by the assistant. Only your first and last name are shown when your name is needed."
"how do i contact a moderator","Post in your class or server and mention the issue, or use a Report so a moderator sees it. Serious safety concerns are escalated to staff automatically."
"what is the attendance policy","TODO: replace with your school's real attendance policy."
"what are the tuition and fees","TODO: replace with your school's real tuition and fee information."
"how do i enroll or register","TODO: replace with your school's real enrollment or registration steps."
"what are the office hours of the registrar","TODO: replace with your registrar's real office hours and location."
"what is the dress code","TODO: replace with your school's real dress code or uniform policy."
"how do i request my documents or transcript","TODO: replace with your school's real document or transcript request process."
"what are the school's contact details","TODO: replace with your school's real phone, email, and address."
"when does enrollment open","TODO: replace with your school's real enrollment schedule and deadlines."
