text,label
found na po,resolved
already returned,resolved
thank you nakuha ko na,resolved
resolved,resolved
na claim na,resolved
got it back already,resolved
someone returned it to me,resolved
found it already thanks,resolved
item has been returned to the owner,resolved
salamat nakuha ko na yung gamit ko,resolved
na ibalik na sakin,resolved
this has been resolved,resolved
claimed already,resolved
thank you so much i got it back,resolved
ok na nakuha ko na,resolved
return na sa akin yun,resolved
picked it up already thanks everyone,resolved
solved thank you,resolved
nakuha ko na po salamat,resolved
already found you can close this,resolved
mine na po ulit,resolved
na ibalik na po sakin salamat,resolved
found it thank you so much,resolved
this is settled na,resolved
thank you it's been found,resolved
is this yours,not_resolved
what color was it,not_resolved
following this post,not_resolved
i think i saw something similar near the library,not_resolved
can you describe it more,not_resolved
where did you last see it,not_resolved
i hope you find it soon,not_resolved
bump,not_resolved
following,not_resolved
what time did you lose it,not_resolved
was it in a black bag,not_resolved
i saw someone with something like that yesterday,not_resolved
try asking the guard,not_resolved
did you check the lost and found box,not_resolved
anong kulay po,not_resolved
saan mo po nawala,not_resolved
sana makita mo na,not_resolved
same here i lost my earphones too,not_resolved
what size was it,not_resolved
naguluhan din ako kelan mo nawala,not_resolved
does it have any markings,not_resolved
still looking for mine too,not_resolved
i'll ask around for you,not_resolved
what brand is it,not_resolved
paano yan nawala,not_resolved
sayang naman yan sana makita mo,not_resolved
