text,intent
hello,greeting
hi,greeting
hey,greeting
hello there,greeting
hi there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
kumusta,greeting
hey bonded ai,greeting
hello bonded ai,greeting
hi assistant,greeting
morning,greeting
good day,greeting
yo assistant,greeting
hello can you help me,greeting
hi can you help,greeting
hey there assistant,greeting
how are you,wellbeing
how are you doing,wellbeing
how is it going,wellbeing
are you okay,wellbeing
you good,wellbeing
how have you been,wellbeing
are you doing well,wellbeing
how do you feel,wellbeing
how are things,wellbeing
hope you are well,wellbeing
how is your day,wellbeing
are you alright,wellbeing
how are things going,wellbeing
you doing okay,wellbeing
how's everything,wellbeing
thank you,thanks
thanks,thanks
thanks a lot,thanks
thank you very much,thanks
salamat,thanks
salamat po,thanks
thanks for the help,thanks
thank you for helping,thanks
appreciate it,thanks
much appreciated,thanks
okay thanks,thanks
great thank you,thanks
thanks assistant,thanks
thank you bonded ai,thanks
that helped thanks,thanks
goodbye,goodbye
bye,goodbye
see you,goodbye
see you later,goodbye
gotta go,goodbye
talk to you later,goodbye
bye for now,goodbye
see you next time,goodbye
good night,goodbye
catch you later,goodbye
i am leaving,goodbye
thanks bye,goodbye
okay goodbye,goodbye
until next time,goodbye
have a good day bye,goodbye
what is your name,assistant_identity
what's your name,assistant_identity
who are you,assistant_identity
tell me your name,assistant_identity
what should i call you,assistant_identity
are you bonded ai,assistant_identity
what are you called,assistant_identity
identify yourself,assistant_identity
what is the assistant name,assistant_identity
your name please,assistant_identity
who is bonded ai,assistant_identity
are you the school assistant,assistant_identity
what kind of assistant are you,assistant_identity
what do i call this bot,assistant_identity
who am i talking to,assistant_identity
who am i,user_identity
what is my name,user_identity
what's my name,user_identity
tell me my name,user_identity
do you know my name,user_identity
do you know who i am,user_identity
can you tell me my name,user_identity
identify me,user_identity
what name is on my account,user_identity
what is the name of my account,user_identity
show my name,user_identity
say my full name,user_identity
what is my full name,user_identity
do you recognize me,user_identity
which user am i,user_identity
what is my student id,user_profile
what is my student number,user_profile
show my student id,user_profile
what program am i in,user_profile
what course am i taking,user_profile
what is my course,user_profile
what is my program,user_profile
what year level am i,user_profile
show my student information,user_profile
show my profile information,user_profile
what is my year level,user_profile
tell me my student number,user_profile
which course am i enrolled in,user_profile
which program am i enrolled in,user_profile
give me my student details,user_profile
what are my student details,user_profile
show my school profile,user_profile
what can you do,help
help me,help
what can i ask,help
show commands,help
how can you help me,help
what questions can i ask,help
what are your capabilities,help
show me what you can do,help
what do you know,help
help,help
i need help,help
what can you help with,help
give me examples of questions,help
how do i use the assistant,help
what services can you provide,help
what information can you find,help
what is the date today,date
what date is it,date
today date,date
what day is today,date
what day is it,date
tell me today's date,date
current date,date
date today please,date
what is today's date,date
tell me the date,date
what day of the week is it,date
what date do we have today,date
today's date please,date
give me the current date,date
day and date today,date
what time is it,time
current time,time
time now,time
what is the time today,time
tell me the time,time
what time is it now,time
give me the current time,time
what's the time,time
time please,time
can you tell me the time,time
show current time,time
what is the time right now,time
tell me what time it is,time
clock time now,time
current clock,time
calculate 1 plus 1,calculator
what is 2 plus 2,calculator
solve 10 divided by 2,calculator
compute 5 times 7,calculator
calculate 12 minus 3,calculator
what is 25 times 4,calculator
calculate 100 divided by 5,calculator
solve 8 plus 9,calculator
compute 20 minus 7,calculator
what is 6 multiplied by 8,calculator
calculate 14 plus 23,calculator
solve 50 over 10,calculator
what is 9 times 9,calculator
calculate 15 percent 4,calculator
compute 7 plus 11,calculator
solve 42 divided by 6,calculator
what is 100 minus 35,calculator
what are the upcoming events,events
show campus events,events
when is the next event,events
events this week,events
school event schedule,events
are there any events,events
what events are coming,events
next school activity,events
upcoming school activities,events
show upcoming activities,events
what activities are happening,events
campus activities coming up,events
what is happening at school,events
next campus event,events
list the upcoming school events,events
what school activities are scheduled,events
tell me about upcoming events,events
when is foundation week,events
what date is foundation week,events
where is foundation week,events
when is the orientation,events
what time is the next event,events
what programs are available,programs
show school programs,programs
what courses are offered,programs
list academic programs,programs
tell me about a program,programs
do you have bsit,programs
tell me about bsit,programs
what degree programs do you have,programs
